offset,length,type,name,text,translation
0x000C3290,60,P,,声を掛けると女の子は、涙で真っ赤に腫れた瞳でこっちを向いた。,一出声，女孩便抬起哭得红肿的眼睛看向我。
0x000C32DC,4,P,,僕？,我？
0x000C32F0,16,P,,……そう、僕は。,……没错，是我。
0x000C3341,14,P,聖哉（少年時代）,「ボクはアル」,「我叫阿尔」
0x000C337A,14,P,水希（少女時代）,「アル……？」,「阿尔……？」
0x000C33B3,22,P,水希（少女時代）,「へんな、なまえ……」,「好奇怪的名字……」
0x000C33F4,14,P,聖哉（少年時代）,「そうかな？」,「是吗？」
0x000C342D,36,P,水希（少女時代）,「ふふっ……でもちょっとかっこいい」,「呵呵……不过，有点帅呢」
0x000C347C,30,P,水希（少女時代）,「アル君ってよんでいい……？」,「可以叫你阿尔君吗……？」
0x000C34C5,8,P,聖哉（少年時代）,「うん」,「嗯」
0x000C34DD,50,P,,女の子はようやく泣きやむと、こっちへと歩いてきた。,女孩终于止住哭泣，朝我走来。
0x000C353A,36,P,聖哉（少年時代）,「ねえ。君は、どうしてないてたの？」,「那个，你为什么在哭啊？」
0x000C3589,12,P,水希（少女時代）,「うん……」,「嗯……」
0x000C35C0,50,P,水希（少女時代）,「みずうみからにげるとちゅう、だったんだけど……」,「我们是在从湖边逃出来的路上……」
0x000C361D,84,P,水希（少女時代）,「おとうさんとおかあさん、わたしだけここにおいて、またもどっていっちゃったんだ……」,「爸爸妈妈只把我留在这里，又回去了……」
0x000C36D1,30,P,聖哉（少年時代）,「ボクもママをさがしてるんだ」,「我也在找妈妈」
0x000C371A,14,P,水希（少女時代）,「そうなの？」,「是吗？」
0x000C3753,48,P,聖哉（少年時代）,「ママとみずうみに行くとちゅう、はぐれちゃった」,「我和妈妈在去湖边的路上走散了」
0x000C37AE,52,P,水希（少女時代）,「そうなんだ。じゃあアル君も、わたしとおんなじだね」,「这样啊。那阿尔君也和我一样呢」
0x000C380D,40,P,聖哉（少年時代）,「おんなじじゃないよ、ボクはないてない」,「才不一样，我可没有哭」
0x000C3860,44,P,水希（少女時代）,「だって、ひとりでさびしかったんだもん……」,「可是，一个人好寂寞嘛……」
0x000C3908,32,P,水希（少女時代）,「……アル君はさびしくないの？」,「……阿尔君不寂寞吗？」
0x000C3953,50,P,聖哉（少年時代）,「さびしくなんかないよ、だってボクは男の子だから」,
0x000C3A5C,32,P,水希（少女時代）,「男の子だと、さびしくないの？」,
0x000C3AA7,36,P,聖哉（少年時代）,「もちろん。こんなのへっちゃらだよ」,
0x000C3AF6,22,P,水希（少女時代）,「ほんとに、ほんと？」,
0x000C3B37,14,P,聖哉（少年時代）,「えーと……」,
0x000C3B70,26,P,聖哉（少年時代）,「ちょ、ちょっとだけ……」,
0x000C3BB5,30,P,水希（少女時代）,「ほら、やっぱりさびしいんだ」,
0x000C3BFE,16,P,聖哉（少年時代）,「う、うん……」,
0x000C3C1E,22,P,,……………………………,
0x000C3C44,12,P,,………………,
0x000C3CA7,18,P,,（……………！？）,
0x000C3D94,38,P,水希（少女時代）,「アルくんの国には、お姫様がいるの？」,
0x000C3DE5,18,P,聖哉（少年時代）,「うん、そうだよ」,
0x000C3E22,40,P,水希（少女時代）,「すごい！　わたしもお姫様になりたい！」,
0x000C3E75,34,P,聖哉（少年時代）,「でも、すっごくむずかしいんだぞ」,
0x000C3EC2,30,P,水希（少女時代）,「わたしじゃ、むりかな……？」,
0x000C3F0B,46,P,聖哉（少年時代）,「べんきょうとか、いっぱいしなきゃいけないよ」,
0x000C3F64,36,P,水希（少女時代）,「わたし、おべんきょうだいすきだよ」,
0x000C3FB3,42,P,聖哉（少年時代）,「えー、べんきょうがすきなんて、へんなの」,
0x000C4008,54,P,水希（少女時代）,「へんじゃないもん、アル君はおべんきょうきらいなの？」,
0x000C4069,30,P,聖哉（少年時代）,「うん、あんまりすきじゃない」,
0x000C40B2,28,P,水希（少女時代）,「おべんきょう、たのしいよ」,
0x000C40F9,32,P,聖哉（少年時代）,「ボクは、あそんでるほうが好き」,
0x000C4144,40,P,水希（少女時代）,「わーい！　わたしもお姫様になれるんだ」,
0x000C4197,38,P,聖哉（少年時代）,「いっぱいがんばれば、きっとなれるよ」,
0x000C41E8,12,P,水希（少女時代）,「ほんと？」,
0x000C421F,18,P,聖哉（少年時代）,「うん、そうだよ」,
0x000C425C,12,P,水希（少女時代）,「うんっ！」,
0x000C4293,24,P,聖哉（少年時代）,「じゃあ、ボクはいくね」,
0x000C42D6,30,P,水希（少女時代）,「えっ……もう行っちゃうの？」,
0x000C431F,40,P,聖哉（少年時代）,「うん、ママをさがさないといけないから」,
0x000C4372,18,P,水希（少女時代）,「そうなんだ……」,
0x000C43AF,48,P,水希（少女時代）,「せっかくおともだちになれたのに……さびしいな」,
0x000C440A,44,P,聖哉（少年時代）,「じゃあ、おともだちのしるしに、これあげる」,
0x000C4461,20,P,水希（少女時代）,「これは、なーに？」,
0x000C44A0,12,P,聖哉（少年時代）,「たねだよ」,
0x000C44D7,24,P,水希（少女時代）,「たねって……お花の？」,
0x000C451A,8,P,聖哉（少年時代）,「うん」,
0x000C454D,24,P,聖哉（少年時代）,「この花が咲いたら……」,
0x000C4590,12,P,水希（少女時代）,「ほんと？」,
0x000C45C7,38,P,水希（少女時代）,「じゃあわたし、がんばってそだてる！」,
0x000C4618,26,P,聖哉（少年時代）,「さいたらボクにも見せて」,
0x000C465D,34,P,聖哉（少年時代）,「ボクも……まだみたことないんだ」,
0x000C46AA,44,P,水希（少女時代）,「うん、いちばんさいしょにアル君に見せるよ」,
0x000C472F,28,P,水希（少女時代）,「……また、あえるといいね」,
0x000C4776,24,P,聖哉（少年時代）,「きっと、またあえるよ」,
0x000C47B9,32,P,水希（少女時代）,「ほんとに？　やくそくだよっ！」,
0x000C4804,22,P,聖哉（少年時代）,「うん、やくそくする」,
0x000C4845,18,P,水希（少女時代）,「きっとだよ……」,
0x000C4882,8,P,聖哉（少年時代）,「うん」,
0x000C48B5,46,P,水希（少女時代）,「……じゃあね、ゆびきりげんまん、知ってる？」,
0x000C490E,12,P,聖哉（少年時代）,「知らない」,
0x000C4945,34,P,水希（少女時代）,「じゃあ、わたしがおしえてあげる」,
0x000C4992,53,P,水希（少女時代）,「あのね、こーやって、こゆびとこゆびをかさね~て……」,
0x000C49F2,30,P,水希（少女時代）,「そして、ふたりでこういうの」,
0x000C4A3B,57,P,水希（少女時代）,「ゆーびきりげんまん、うそついたらはりせんぼん~のーます」,
0x000C4AD4,46,P,水希（少女時代）,「これしたら、もううそついたらいけないんだよ」,
0x000C4B2D,18,P,聖哉（少年時代）,「うん、わかった」,
0x000C4B6A,30,P,水希（少女時代）,「じゃあアル君、みぎてだして」,
0x000C4BB3,12,P,聖哉（少年時代）,「うん……」,
0x000C4BFA,22,P,水希（少女時代）,「じゃあ、いっしょに」,
0x000C4C3B,58,P,聖哉（少年時代）,「ゆーびきりげんまん……うそついたらはりせんぼんのーます」,
0x000C4CB6,16,P,聖哉（少年時代）・少女,「ゆーびきった」,
0x000C4DE0,60,P,,女の子と別れ、小さな建物を出ると雨と風は一層強くなっていた。,
0x000C4E2C,64,P,,少しでも気を抜くと、僕のきゃしゃな体はすぐに吹き飛ばされそうだ。,
0x000C4E7C,46,P,,学校の校舎を横目に、湖のほうへ続く道へと急ぐ。,
0x000C4F21,60,P,,この先に母さんがいる。この道をいけば、きっと母さんに逢える。,
0x000C4F6D,56,P,,湖へ続く道を歩いていると、途中たくさんの人とすれ違った。,
0x000C4FB5,54,P,,みんな水でびっしょり濡れて、誰もが疲れた顔をしていた。,
0x000C4FFB,34,P,,でもそこに、母さんの姿はなかった。,
0x000C502D,58,P,,もしかして、この中にさっきの女の子の家族はいるのかな……？,
0x000C5077,58,P,,あれ、そういえば……さっきの女の子、名前聞いてなかったな。,
0x000C50C1,34,P,,せっかく、また逢う約束をしたのに。,
0x000C50F3,46,P,,ゆびきりしたのに、このままじゃもう逢えないよ。,
0x000C5131,40,P,,そうだ、もう一度戻って名前聞いてこよう。,
0x000C5169,24,P,,……………………………。,
0x000C51F0,8,P,,あれ……,
0x000C5208,62,P,,なんだか、体が冷たくなってきた。まるで水の中にいるみたいだ……,
0x000C5256,32,P,,手足が動かない。息もできない……,
0x000C5286,28,P,,どうしたんだろう……僕の体。,
0x000C52B2,64,P,,このままじゃ、母さんを探せないし……あの女の子の名前も聞けない。,
0x000C5302,34,P,,ゆびきりのやくそくも、果たせない。,
0x000C5334,42,P,,くそっ、動け……僕の体……動け……動け……,
0x000C536E,20,P,,動け……頼むから……,
0x000C5392,8,P,,うご……,
0x000C5413,6,P,,ポコ！,
0x000C547F,26,P,聖哉,「いてっ……あ、動いた！」,
0x000C54B2,18,P,聖哉,「って……あれ？」,
0x000C558A,32,P,清貴,「いつまで昼寝してんだ、聖哉？」,
0x000C55BA,44,P,,気が付くと、いきなり脳天に軽い痛みを感じた。,
0x000C55F6,86,P,,反射的に頭を押さえながら、ゆっくり目を開くと……そこにあったのは見慣れたあいつの顔だ。,
0x000C569F,32,P,清貴,「もう、午後の授業は終わったぞ」,
0x000C56D8,18,P,聖哉,「そ、そっか……」,
0x000C56FA,56,P,,こいつは僕の親友……というよりも悪友と呼んだ方がいいか？,
0x000C5742,46,P,,クラスメイトの鶴馬清貴（つるま　きよたか）だ。,
0x000C5780,60,P,,寝ぼけ眼で教室をぐるっと見渡すと、教室はもう閑散としていた。,
0x000C57CC,66,P,,午後の授業も終わり、みんな部活に行ったり帰宅してしまったみたいだ。,
0x000C581E,28,P,,（今のは、夢だったのか……）,
0x000C586F,52,P,清貴,「月曜日の午後の古典は、いつも寝てるよなぁ？　お前」,
0x000C58BC,86,P,聖哉,「古典や漢文は苦手なんだ。何を聞いてもお経にしか聞こえないから退屈で退屈で……ふあぁ」,
0x000C5947,32,P,清貴,「他の教科は普通なのにな、お前」,
0x000C5980,60,P,聖哉,「なんでだろね、自分でも分からないけど古語ってなじめなくて」,
0x000C59F1,62,P,清貴,「まあ人間ひとつくらい、苦手なモンがあっていいんじゃないか？」,
0x000C5A48,32,P,聖哉,「ははは、赤点取らない程度にね」,
0x000C5A9D,52,P,清貴,「おっと。それより聖哉君、おりいって頼みがあるんだ」,
0x000C5AE1,14,P,,……嫌な予感。,
0x000C5AFF,72,P,,清貴が僕の事を『くん』なんて呼ぶときは、ロクなことがあったためしがない。,
0x000C5B7C,40,P,清貴,「今日の掃除当番、代わってくれないか？」,
0x000C5BB4,14,P,,……やっぱり。,
0x000C5BDB,14,P,聖哉,「どうして？」,
0x000C5C1E,48,P,清貴,「それが急に放課後、大切な用事ができちまってな」,
0x000C5C6D,70,P,清貴,「掃除当番で居残りしていると、それに間に合いそうにないんだな、これが」,
0x000C5CCC,22,P,聖哉,「大事な用事って何？」,
0x000C5D17,84,P,清貴,「そ、それはだな……ゴホン、おそらく聖哉に説明してもわかってもらえないと思うが……」,
0x000C5DA0,42,P,清貴,「と、とにかく、とても大事な用事なんだよ」,
0x000C5DE3,72,P,聖哉,「でも、せめて理由くらい教えてよ。別に代わってあげないとは言わないから」,
0x000C5E60,20,P,清貴,「そ、それはな……」,
0x000C5EA9,68,P,清貴,「……お、おっと、もうこんな時間だ！　もう行かないと間に合わねぇ！」,
0x000C5F22,50,P,清貴,「つーわけでスマン、聖哉。コレ！　後は頼んだぞ！」,
0x000C5FC2,22,P,聖哉,「あ……待て、清貴！」,
0x000C600D,104,P,,清貴は慌てて手に持ったほうきとちりとりを強引に僕に押しつけると、くるりと背を向けて出口に向かって一目散。,
0x000C6094,30,P,清貴,「じゃ、よろしくな、聖哉ッ！」,
0x000C60C2,38,P,,あっという間に、廊下へと消えていった。,
0x000C611A,14,P,聖哉,「おーい……」,
0x000C6138,42,P,,逃げる清貴を追って、教室を出ようとすると。,
0x000C6187,12,P,勝城,「厚木君！」,
0x000C61C9,52,P,,僕の前に立ちはだかったのは、クラスの女子の勝城さん。,
0x000C622B,72,P,勝城,「鶴馬君の代わりに掃除当番やってくれるんでしょ、だったら早く手伝って！」,
0x000C628C,92,P,聖哉,「ちょ、ちょっと待ってよ、今の話聞いてたでしょ？まだ僕は清貴の代わりを承諾したわけじゃ……」,
0x000C6316,36,P,勝城,「そんなの、私には関係ないことだわ」,
0x000C6359,48,P,勝城,「だいたい鶴馬君は、もう行ってしまったでしょ？」,
0x000C63A2,42,P,聖哉,「だ、だから今から連れ戻してくるから……」,
0x000C63EB,90,P,勝城,「それは無理ね。鶴馬君の逃げ足の早さは知ってるでしょ、今から追いかけて追いつけると思う？」,
0x000C645E,16,P,聖哉,「……思わない」,
0x000C648D,48,P,勝城,「じゃあ今更それが無駄な行為なのは、自明の理ね」,
0x000C64DC,60,P,勝城,「それとも鶴馬君を追いかけるフリして、逃げるつもりかしら？」,
0x000C6531,40,P,聖哉,「そういうわけじゃないけど……でも……」,
0x000C6578,76,P,勝城,「ほらほら、男が細かいことでつべこべいわないの！さあ、黙って手伝いなさい！」,
0x000C6611,68,P,,こうして、うやむやのうちに無理矢理掃除を手伝わされて……３０分経過。,
0x000C66C0,62,P,勝城,「じゃあ厚木君。黒板消し終わったら、あとはゴミ捨てよろしくね」,
0x000C6717,14,P,聖哉,「りょーかい」,
0x000C6744,40,P,勝城,「さーて、こっちはほとんど終わったから」,
0x000C678B,18,P,勝城,「私も先に帰るね」,
0x000C67B6,66,P,聖哉,「わ、勝城さん、先に終わったんならゴミくらい捨ててくれても……！」,
0x000C6826,28,P,勝城,「じゃあね、ばいばい厚木君」,
0x000C6880,30,P,聖哉,「ちょ、ちょっと待って……！」,
0x000C68AE,80,P,,慌てて呼び止めたけど、勝城さんは僕の声を無視するように教室を出て行ってしまった。,
0x000C6930,74,P,聖哉,「はぁ、どうして掃除当番でもない僕がここまでやらなきゃいけないんだよ……」,
0x000C6993,86,P,聖哉,「くそーっ、清貴の奴、いくら大事な用事があるって言ったって……いくらなんでもひどいよ」,
0x000C6A02,50,P,聖哉,「帰ったら、文句のひとつも言わせてもらうからな！」,
0x000C6A44,60,P,,誰もいない教室で１人ブツブツ言いながら、黒板の掃除を続ける。,
0x000C6A90,38,P,,黒板の上のほうはさすがに手が届かない。,
0x000C6AC6,70,P,,黒板消しの端を親指と人差し指、中指の３本で不安定に持って背伸びをする。,
0x000C6B1C,61,P,,それでようやく、チョークの文字に黒板消しの先っ~ちょが届いた。,
0x000C6B69,78,P,,本当は椅子を持ってきたほうが効率いいけど、なんだかちゃんとやるのがアホらしい。,
0x000C6BC7,54,P,,適当にチャッチャッと済ませようと思って、横着したら……,
0x000C6C16,12,P,聖哉,「あっ……」,
0x000C6C9C,40,P,,黒板消しが指から滑って、床に転げ落ちた。,
0x000C6CDD,32,P,聖哉,「あーあ、めんどくさいなぁ……」,
0x000C6D0D,64,P,,床に落ちた黒板消しを取るため、仕方なく教壇を降りて身体を屈める。,
0x000C6D6D,8,P,,その時。,
0x000C6D94,24,P,早知,「ねえねえ、センパイ！」,
0x000C6F35,82,P,,聞き覚えのある女の子の声と同時に、赤いラインのバスケットシューズが目の前に現れた。,
0x000C6FA0,22,P,,（このバッシュは……）,
0x000C705F,48,P,,（……白いルーズソックス……ひざ……そして……）,
0x000C709F,56,P,,ドキドキしながら、ゆっくりと視線を上にずらしていくと……,
0x000C70F6,34,P,早知,「ねえセンパイ……どこ見てるの？」,
0x000C7131,20,P,聖哉,「ぱっ、ぱぱぱ……」,
0x000C7164,12,P,早知,「パンツ？」,
0x000C7189,12,P,聖哉,「……あ！」,
0x000C72CD,46,P,聖哉,「いや、僕は何も言ってないよ。ホントホント！」,
0x000C732F,26,P,早知,「……………………………」,
0x000C737D,24,P,早知,「いやらしい、センパイ」,
0x000C73A5,82,P,,ううっ、ついつい口走りそうになってしまった。なんとか話題を変えてごまかさないと……,
0x000C742A,48,P,聖哉,「そんなことより早知、いつからここにいたんだ？」,
0x000C748E,34,P,早知,「センパイが黒板消してるときから」,
0x000C74C9,30,P,聖哉,「そっか、全然気付かなかった」,
0x000C751B,50,P,早知,「ドアあけっぱなしだったから、音しなかったもんね」,
0x000C7566,50,P,聖哉,「でも上級生の教室に入るときは、挨拶くらいしろよ」,
0x000C75CC,58,P,早知,「いいの、いいの。教室覗いたら、センパイしかいなかったし」,
0x000C7616,71,P,,そう言ってヘヘヘと笑う、この女の子の名前は~喜多見早知（きたみ　さち）。,
0x000C766D,72,P,,ひとつ年下で、聖峰学院の寮に入る以前は実家の近くに住んでいた幼なじみだ。,
0x000C76C5,82,P,,早知も今年聖峰学院に入学してきたため、何の因果かまた同じ学校になってしまったのだ。,
0x000C774B,36,P,早知,「それよりセンパイ。今、暇ですか？」,
0x000C777F,106,P,,早知には子供の頃からずっと『聖哉ちゃん』って呼ばれてた。あの頃はそう呼ばれても全然気にならなかったけど……,
0x000C77F9,142,P,,聖峰学院に入学してきたとき、さすがに恥ずかしいから『聖哉ちゃん』はやめてって言ったら、それ以来早知は僕のことを『センパイ』と呼ぶようになった。,
0x000C78A0,24,P,聖哉,「見てのとおり、忙しい」,
0x000C78EC,50,P,早知,「えー。センパイが暇じゃないなんて、めずらしいね」,
0x000C7937,28,P,聖哉,「めずらしくて、悪かったね」,
0x000C796C,30,P,聖哉,「それより、僕に何か用なの？」,
0x000C79BE,62,P,早知,「あのね。今日から駅前のゲーセンに、新作ゲームが入るんだって」,
0x000C7A30,34,P,早知,「今から一緒に行こうよ、センパイ」,
0x000C7A6B,22,P,聖哉,「忙しいから、ダーメ」,
0x000C7AB5,86,P,早知,「えー、どうしてぇ？　クラスの男子から仕入れた、取れたてピチピチの最新情報なんだよ！」,
0x000C7B24,48,P,聖哉,「たかがゲーム。別にいいだろ、今日じゃなくても」,
0x000C7B88,44,P,早知,「ダメダメ、新作のゲームは最初が肝心なの！」,
0x000C7BD3,63,P,早知,「誰よりも先にコツつかまないと、対戦で負け組に~なっちゃうよ？」,
0x000C7C2B,36,P,聖哉,「別にそんなこと、ないと思うけどな」,
0x000C7C83,44,P,早知,「だって、だって。キヨ君がそう言ってたもん」,
0x000C7CC8,36,P,聖哉,「はぁ、清貴の入れ知恵のせいか……」,
0x000C7D05,62,P,聖哉,「あんな格闘ゲーム命の奴の言うことなんか、聞かなくていいって」,
0x000C7D5C,60,P,聖哉,「それに僕は、ゲームで勝った負けたなんて全然気にならないし」,
0x000C7DCC,48,P,早知,「だめだよ、センパイが負けるの見たくないもん！」,
0x000C7E15,44,P,聖哉,「なにを大げさな、たかがゲームくらいで……」,
0x000C7E75,46,P,早知,「とにかく！　まだ時間あるし、一緒に行こっ！」,
0x000C7EBC,55,P,聖哉,「そ、そう言われても、まだ掃除が終わってないか~ら……」,
0x000C7F27,22,P,早知,「よーし、わかった！」,
0x000C7F71,58,P,早知,「じゃあセンパイの掃除が早く終わるように、手伝ってあげる」,
0x000C7FC4,42,P,聖哉,「べ、別にいいよ、あとちょっとで終わるし」,
0x000C8022,74,P,早知,「いいの、いいの。早くゲーセンに行くためだもん、早知にまっかせなさーい！」,
0x000C8154,44,P,,言うが早いか、僕の手から黒板消しを奪い取る。,
0x000C824D,24,P,早知,「さー、がんばるぞぉ！」,
0x000C8330,76,P,,早知と一緒に黒板を消し、そのあと教室中のゴミ箱を集めてビニール袋にまとめる。,
0x000C838C,74,P,,こっちの仕事は早知が手伝ってくれたこともあって、思ったより早く片づいたな。,
0x000C84BA,32,P,早知,「ん、しょっと。これで最後だね」,
0x000C84F3,40,P,聖哉,「うん、このゴミ袋を捨てたら掃除終了だ」,
0x000C8534,52,P,聖哉,「じゃあ僕は、第四校舎の裏にゴミ捨てに行ってくるよ」,
0x000C859D,20,P,早知,「私も一緒に行く！」,
0x000C85CA,62,P,聖哉,「じゃあ早知は燃えるゴミを持って。えーと、これとこれ、お願い」,
0x000C863D,24,P,早知,「うん、まかせといて！」,
0x000C86A9,22,P,早知,「んしょ、んしょ……」,
0x000C86D8,26,P,聖哉,「片方、持ってやろうか？」,
0x000C8748,34,P,早知,「ううん、大丈夫だよ、これくらい」,
0x000C8783,74,P,聖哉,「あれ？　昔の早知ならめんどくさいことは、すぐ僕にやらせようとしたのに？」,
0x000C8802,34,P,早知,「早知はもう、子供じゃないもん！」,
0x000C883D,18,P,聖哉,「ごめん、ごめん」,
0x000C88AA,52,P,,ゴミ捨て場を目指して、グラウンドの端を歩いていると。,
0x000C8907,36,P,六夏（？？？）,「こんにちは、聖哉くんに早知ちゃん」,
0x000C89C1,18,P,早知,「あ、六夏先輩！」,
0x000C89EC,12,P,聖哉,「こんちは」,
0x000C8A08,74,P,,グラウンドのすみっこの木陰で休憩する、六夏先輩と七海先輩に声を掛けられた。,
0x000C8A62,96,P,,六夏（りっか）先輩は３年生でバトン部所属。いつも明るく、元気が服を着て歩いているようなお姉さん。,
0x000C8AD2,110,P,,隣の七海（ななみ）先輩も同じく３年生、水泳部で飛び込みをやっていて、昨年のインターハイで入賞するほどの実力だ。,
0x000C8B75,34,P,六夏,「今日は２人で、掃除当番ですか？」,
0x000C8BB6,50,P,六夏,「あれ、でも聖哉くんと早知ちゃん、学年違うよね？」,
0x000C8C07,68,P,早知,「私はキヨ君に掃除当番押しつけられたセンパイの、お手伝い中なんです」,
0x000C8C80,32,P,六夏,「なるほど、それはナイスですね」,
0x000C8CB9,28,P,聖哉,「全然ナイスじゃないですよ」,
0x000C8CF4,74,P,早知,「センパイお人好しだから、いつもキヨ君にいろいろ押しつけられちゃうんだよ」,
0x000C8D57,94,P,聖哉,「べ、別にそんなんじゃないって。今日は清貴が大事な用事があるって言うから代わってあげてるだけ」,
0x000C8DD4,40,P,早知,「それを世間では、お人好しって言うの！」,
0x000C8E15,50,P,聖哉,「じゃあ早知は、清貴が困ってるのを放っておける？」,
0x000C8E66,46,P,早知,「キヨ君、早知にはそういうこと言わないもん！」,
0x000C8EC9,66,P,六夏,「まあまあ、学校の真ん中で夫婦喧嘩はダメです。犬も食べませんから」,
0x000C8F24,38,P,聖哉,「変なたとえはやめてください、先輩！」,
0x000C8F63,50,P,聖哉,「だいたい早知とはただの幼なじみです。なっ早知？」,
0x000C8FB4,24,P,早知,「う、うん……そうだね」,
0x000C9091,8,P,六夏,「あ！」,
0x000C9109,46,P,六夏,「ねえねえ、そんなことより、そこのお２人さん」,
0x000C9175,44,P,六夏,「もしよければ、『海援隊』に入りませんか？」,
0x000C91C0,30,P,早知,「……な、なんですか、それ？」,
0x000C9213,22,P,七海,「お、おい、六夏……」,
0x000C929B,58,P,六夏,「もうすぐインターハイがあるの、もちろん知ってますよね？」,
0x000C92F4,34,P,早知,「うん、毎年夏休みにあるんだよね」,
0x000C934B,18,P,六夏,「そのとおりです」,
0x000C9392,73,P,六夏,「それでね。今年も七海が、水泳の飛び込みでイン~ターハイに出場するんです」,
0x000C93F4,28,P,聖哉,「ほんとですか、七海先輩？」,
0x000C9445,46,P,七海,「まだ、正式に決まったわけじゃないけどね……」,
0x000C94A8,44,P,六夏,「大丈夫、大丈夫、七海なら間違いないです！」,
0x000C951F,76,P,六夏,「でね。来るべきインターハイに向けて、私設応援団を結成しようと思うのです！」,
0x000C95A0,70,P,六夏,「その名は聖峰学院生徒有志による、七海応援部隊。略して、海援隊です！」,
0x000C9605,50,P,早知,「へーっ、七海先輩の応援団ですか。すてきですね！」,
0x000C966C,60,P,六夏,「でしょでしょ？　だから２人にも、それに入って欲しいのです」,
0x000C96C7,48,P,早知,「もちろんＯＫです！　聖哉センパイもいいよね？」,
0x000C9710,50,P,聖哉,「うん、夏休みも特に用事もないし……僕でよければ」,
0x000C9777,64,P,六夏,「２人ともありがとー！　よーし、これで隊員２名、確保完了です！」,
0x000C97D0,34,P,聖哉,「隊員２名って……まだ僕らだけ？」,
0x000C9827,50,P,六夏,「大丈夫、大丈夫、これからいっぱい集めるのです！」,
0x000C988E,82,P,七海,「あのさ六夏、私は六夏だけいてくれれば大丈夫だから。無理して人増やさなくても……」,
0x000C9915,70,P,六夏,「ダメダメ、そうはいきません。だって今年は七海にとって最後の夏です！」,
