offset,length,text,translation
0x13ab18,203,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)は
""エンゼル☆ウィッシュ""の
ゲームファイルを保存するための
空き容量が不足しています。
ゲームファイルの作成には
70KB以上の空き容量が必要です。","记忆卡插槽１的记忆卡中，用以保存游戏文件的剩余空间不足。
创建游戏文件需要７０ＫＢ以上的剩余空间。"
0x13abe8,66,"システムファイルと
ゲームファイルをセーブします。
よろしいですか？","将保存系统文件与游戏文件。
是否确定？"
0x13ac30,240,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)は
""エンゼル☆ウィッシュ""の
システムファイルとゲームファイルを
保存するための空き容量が不足しています。
システムファイルとゲームファイルの保存には
118KB以上の空き容量が必要です。","记忆卡插槽１的记忆卡中，用以保存系统文件与游戏文件的剩余空间不足。
保存系统文件与游戏文件需要１１８ＫＢ以上的剩余空间。"
0x13ad28,84,"ゲームファイルが破損しています。
このゲームファイルを上書きします。
よろしいですか？","游戏文件已损坏。
将覆盖该游戏文件。
是否确定？"
0x13ad80,66,"システムファイルと
ゲームファイルを上書きします。
よろしいですか？","将覆盖系统文件与游戏文件。
是否确定？"
0x13adc8,259,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)は
""エンゼル☆ウィッシュ""の
システムファイルを保存するための
空き容量が不足しています。
システムファイルの作成には
48KB以上の空き容量が必要です。
ゲームファイルのみを上書きします。
よろしいですか？","记忆卡插槽１的记忆卡中，用以保存系统文件的剩余空间不足。
创建系统文件需要４８ＫＢ以上的剩余空间。
将仅覆盖游戏文件。
是否确定？"
0x13aed0,116,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
はフォーマットされていません。
フォーマットしますか？","记忆卡插槽１的记忆卡未格式化。
是否进行格式化？"
0x13af48,214,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)に
""エンゼル☆ウィッシュ""
のシステムファイルが存在しません。

システムファイルの作成には
48KB以上の空き容量が必要です。
システムファイルを作成しますか？","记忆卡插槽１的
记忆卡中
不存在系统文件。

创建系统文件需要４８ＫＢ以上的剩余空间。
是否创建系统文件？"
0x13b020,63,"システムファイルのセーブに失敗しました。
セーブをつづけますか？","系统文件保存失败。
是否继续保存？"
0x13b060,38,ゲームファイルのセーブに失敗しました。,游戏文件保存失败。
0x13b088,145,"システムファイルをセーブ中です。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在保存系统文件。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13b120,143,"ゲームファイルをセーブ中です。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在保存游戏文件。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13b1b0,198,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
をフォーマット中です。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在格式化 记忆卡插槽１的记忆卡。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13b278,116,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
のフォーマットに失敗しました。
セーブをつづけますか？","记忆卡插槽１的记忆卡格式化失败。
是否继续保存？"
0x13b2f0,93,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
のフォーマットが完了しました。",记忆卡插槽１的记忆卡格式化完成。
0x13b350,147,"システムファイルを作成しています。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在创建系统文件。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13b3e8,61,"システムファイルの作成に失敗しました。
セーブをつづけますか？","系统文件创建失败。
是否继续保存？"
0x13b4e8,178,"”PlayStation 2”専用メモリーカード(8MB)
のチェックをしています。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在检查记忆卡。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13b5a0,241,"MEMORY CARD差込口１に
”PlayStation 2”専用メモリーカード(8MB)
が差し込まれていません。
システムファイルとゲームファイルの保存には
118KB以上の空き容量がある
”PlayStation 2”専用メモリーカード(8MB)
が必要です。
このままゲームを開始しますか？","记忆卡插槽１未插入记忆卡。
保存系统文件与游戏文件需要有１１８ＫＢ以上剩余空间的记忆卡。
是否直接开始游戏？"
0x13b698,252,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)は
""エンゼル☆ウィッシュ""の
ゲームファイルを保存するための
空き容量が不足しています。
ゲームファイルの作成には
70KB以上の空き容量が必要です。
システムデータをロードしてゲームを開始しますか？","记忆卡插槽１的记忆卡中，用以保存游戏文件的剩余空间不足。
创建游戏文件需要７０ＫＢ以上的剩余空间。
是否读取系统数据并开始游戏？"
0x13b798,159,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
はフォーマットされていません。
フォーマットして、
システムファイルを作成してよろしいでしょうか？","记忆卡插槽１的记忆卡未格式化。
是否进行格式化并创建系统文件？"
0x13b838,147,"システムファイルを作成しています。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在创建系统文件。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13b8d0,61,"システムファイルの作成に失敗しました。
セーブをつづけますか？","系统文件创建失败。
是否继续保存？"
0x13b910,145,"システムファイルをロード中です。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在读取系统文件。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13b9a8,40,システムファイルのロードに失敗しました。,系统文件读取失败。
0x13b9d8,116,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
のフォーマットに失敗しました。
セーブをつづけますか？","记忆卡插槽１的记忆卡格式化失败。
是否继续保存？"
0x13ba50,93,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
のフォーマットが完了しました。",记忆卡插槽１的记忆卡格式化完成。
0x13bab0,198,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
をフォーマット中です。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在格式化 记忆卡插槽１的记忆卡。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13bb78,271,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)は
""エンゼル☆ウィッシュ""の
システムファイルとゲームファイルを
保存するための空き容量が不足しています。
システムファイルとゲームファイルの保存には
118KB以上の空き容量が必要です。
このままゲームを開始しますか？","记忆卡插槽１的记忆卡中，用以保存系统文件与游戏文件的剩余空间不足。
保存系统文件与游戏文件需要１１８ＫＢ以上的剩余空间。
是否直接开始游戏？"
0x13bc88,214,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)に
""エンゼル☆ウィッシュ""
のシステムファイルが存在しません。

システムファイルの作成には
48KB以上の空き容量が必要です。
システムファイルを作成しますか？","记忆卡插槽１的记忆卡中不存在系统文件。

创建系统文件需要４８ＫＢ以上的剩余空间。
是否创建系统文件？"
0x13bd60,238,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)は
""エンゼル☆ウィッシュ""の
システムファイルを保存するための
空き容量が不足しています。
システムファイルの作成には
48KB以上の空き容量が必要です。
このままゲームを開始しますか？","记忆卡插槽１的记忆卡中，用以保存系统文件的剩余空间不足。
创建系统文件需要４８ＫＢ以上的剩余空间。
是否直接开始游戏？"
0x13be88,178,"”PlayStation 2”専用メモリーカード(8MB)
のチェックをしています。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在检查记忆卡。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13bf40,216,"MEMORY CARD差込口１に
”PlayStation 2”専用メモリーカード(8MB)
が差し込まれていません。
システムファイルの保存には
48KB以上の空き容量がある
”PlayStation 2”専用メモリーカード(8MB)
が必要です。
セーブをつづけますか？","记忆卡插槽１未插入记忆卡。
保存系统文件需要有 48KB 以上剩余空间的记忆卡。
是否继续保存？"
0x13c020,111,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)に
システムファイルを保存します。よろしいですか？",将向记忆卡插槽１的记忆卡保存系统文件。是否确定？
0x13c090,159,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
はフォーマットされていません。
フォーマットして、
システムファイルを作成してよろしいでしょうか？","记忆卡插槽１的记忆卡未格式化。
是否进行格式化并创建系统文件？"
0x13c130,147,"システムファイルを作成しています。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在创建系统文件。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13c1c8,61,"システムファイルの作成に失敗しました。
セーブをつづけますか？","系统文件创建失败。
是否继续保存？"
0x13c208,116,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
のフォーマットに失敗しました。
セーブをつづけますか？","记忆卡插槽１的记忆卡格式化失败。
是否继续保存？"
0x13c280,93,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
のフォーマットが完了しました。",记忆卡插槽１的记忆卡格式化完成。
0x13c2e0,198,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)
をフォーマット中です。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在格式化记忆卡插槽１的记忆卡。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13c3a8,230,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)は
""エンゼル☆ウィッシュ""の
システムファイルを保存するための
空き容量が不足しています。
システムファイルの作成には
48KB以上の空き容量が必要です。
セーブをつづけますか？","记忆卡插槽１的记忆卡中，用以保存系统文件的剩余空间不足。
创建系统文件需要４８ＫＢ以上的剩余空间。
是否继续保存？"
0x13c490,214,"MEMORY CARD差込口１の
”PlayStation 2”専用メモリーカード(8MB)に
""エンゼル☆ウィッシュ""
のシステムファイルが存在しません。

システムファイルの作成には
48KB以上の空き容量が必要です。
システムファイルを作成しますか？","记忆卡插槽１的记忆卡中不存在系统文件。

创建系统文件需要４８ＫＢ以上的剩余空间。
是否创建系统文件？"
0x13c568,145,"システムファイルをセーブ中です。
”PlayStation 2”専用メモリーカード(8MB)
を抜き差ししたり、電源をＯＦＦにしたり
リセットしたりしないでください。","正在保存系统文件。
请勿拔插记忆卡、关闭电源或重置主机。"
0x13c600,63,"システムファイルのセーブに失敗しました。
セーブをつづけますか？","系统文件保存失败。
是否继续保存？"
